SRR2917282	 3641	 449022.61	 764424.00	 723064762	 726082	 1287686	 2013768	 721050994	 .001004172	 .001005235
SRR2917288	 3022	 330429.59	 443024.00	 597885686	 710298	 979686	 1689984	 596195702	 .001188016	 .001188897
SRR2917285	 3369	 227304.77	 459183.00	 890881802	 1549357	 1384133	 2933490	 887948312	 .001739127	 .001740024
Camarhynchus_pallidus_PAL5	 11209	 313737.47	 828679.00	 965839469	 1057554	 2464173	 3521727	 962317742	 .001094958	 .001095898
Camarhynchus_pallidus_PAL2	 11861	 255085.73	 747003.00	 998156620	 1121252	 2568856	 3690108	 994466512	 .001123322	 .001124164
SRR2917279	 3863	 257664.30	 648516.00	 1003073493	 1808603	 1633194	 3441797	 999631696	 .001803061	 .001804227
Camarhynchus_heliobates_HEL2	 5446	 260487.74	 772503.00	 1006997555	 777560	 1623886	 2401446	 1004596109	 .000772156	 .000772749
SRR2917291	 1408	 33678.23	 78513.00	 981675581	 2294668	 1314257	 3608925	 978066656	 .002337501	 .002337688
Camarhynchus_pauper_PAU1	 5717	 130441.95	 388487.00	 1001433447	 1530343	 2309336	 3839679	 997593768	 .001528152	 .001528745
Camarhynchus_psittacula_PSIT2	 7870	 289381.94	 862903.00	 1007466774	 1250985	 2510160	 3761145	 1003705629	 .001241713	 .001242777
Geospiza_magnirostris_MG7	 3347	 176799.76	 380938.00	 941353670	 1734030	 1430454	 3164484	 938189186	 .001842060	 .001842805
SRR2917294	 1331	 29057.71	 67788.00	 934610755	 2017018	 1264026	 3281044	 931329711	 .002158136	 .002158293
SRR2917297	 1886	 46314.75	 98236.00	 891108685	 0	 0	 0	 891108685	 0	 0
Loxigilla_noctis_L1	 8318	 197563.10	 2142210.00	 950994474	 1468470	 12409422	 13877892	 937116582	 .001544141	 .001547627
Geospiza_difficilis_DW5	 11024	 541350.16	 1386591.00	 920743222	 1020723	 2140328	 3161051	 917582171	 .001108585	 .001110257
SRR2917324	 6451	 163129.16	 436771.00	 934543243	 1273253	 2145195	 3418448	 931124795	 .001362433	 .001363070
Pinaroloxias_inornata_PIN5	 12204	 236692.67	 710708.00	 948763949	 645874	 2893190	 3539064	 945224885	 .000680753	 .000681263
SRR2917327	 7346	 188491.70	 487701.00	 894993907	 1104184	 2066189	 3170373	 891823534	 .001233733	 .001234406
